stock,sex,mean,sd
25180,female,1.095,0.033
25180,male,0.652,0.042
25182,female,1.159,0.092
25182,male,0.711,0.051
25190,female,0.848,0.144
25190,male,0.462,0.072
25192,female,0.849,0.138
25192,male,0.718,0.072
25198,female,1.036,0.092
25198,male,0.743,0.088
25201,female,1.104,0.053
25201,male,0.814,0.051
25203,female,1.344,0.124
25203,male,0.796,0.089
28135,female,1.096,0.148
28135,male,0.731,0.151
28141,female,1.102,0.054
28141,male,0.758,0.044
28153,female,1.404,0.068
28153,male,0.778,0.046
28173,female,1.27,0.068
28173,male,0.859,0.039
28180,female,1.112,0.079
28180,male,0.686,0.088
28191,female,1.209,0.087
28191,male,0.776,0.071
28196,female,1.402,0.063
28196,male,0.917,0.04
28197,female,1.351,0.088
28197,male,0.856,0.084
28198,female,1.382,0.109
28198,male,0.778,0.094
28247,female,1.43,0.145
28247,male,0.796,0.071
28248,female,1.276,0.109
28248,male,0.883,0.065
28258,female,1.288,0.094
28258,male,0.842,0.09
29652,female,0.878,0.1
29652,male,0.638,0.051
