"stock","sex","mean","sd"
"25180","female",5759.834,99.931
"25180","male",5447.493,229.303
"25182","female",6194.397,163.426
"25182","male",5978.481,151.287
"25190","female",6261.638,123.72
"25190","male",5969.987,233.492
"25192","female",6869.16,308.228
"25192","male",6403.838,257.703
"25198","female",7038.912,244.245
"25198","male",6182.028,311.396
"25201","female",6105.259,144.421
"25201","male",5769.931,187.864
"25203","female",6413.807,219.536
"25203","male",5558.941,223.413
"28135","female",5892.656,370.893
"28135","male",5212.937,469.052
"28141","female",6498.791,180.911
"28141","male",6021.641,103.8
"28153","female",6751.522,154.575
"28153","male",6269.787,147.241
"28173","female",6238.408,213.224
"28173","male",5767.475,308.816
"28180","female",5729.14,226.295
"28180","male",4920.132,171.822
"28191","female",7538.602,221.839
"28191","male",6742.856,201.297
"28196","female",5698.821,170.02
"28196","male",5279.029,169.79
"28197","female",6804.228,384.784
"28197","male",5771.565,245.658
"28198","female",6051.041,157.346
"28198","male",5815.127,216.617
"28247","female",6466.3,205.779
"28247","male",5471.217,190.771
"28248","female",6911.147,283.529
"28248","male",6477.183,269.922
"28258","female",6276.681,186.48
"28258","male",5854.661,197.456
"29652","female",6292.389,222.759
"29652","male",5734.915,186.378
