"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"TT + TT * sex + FM",6,-175.556721251666,0,1,0.269221694402832,94.0565063211973,0.269221694402832
"TT + TT * sex + TT * CA + IOD + FM",9,-175.04970818785,0.507013063816174,0.776074675660131,0.208936139164348,97.132962202033,0.47815783356718
"TT + TT * sex + TT * FM",7,-174.391111440066,1.16560981159972,0.558330104831098,0.150314576858739,94.5688890533665,0.628472410425919
"TT + TT * sex + TT * FM + TT * IOD",9,-174.283471305165,1.27324994650093,0.529075056603175,0.142438483204981,96.7498437606907,0.7709108936309
"TT + TT * sex + CA + FM",7,-173.650981088407,1.90574016325868,0.385632636489154,0.103820671812641,94.198823877537,0.874731565443541
"TT + TT * sex + TT * FM + TT * CA",9,-173.367134060429,2.18958719123702,0.33460866451591,0.090083911622842,96.2916751383226,0.964815477066383
"TT + TT * sex + TT * FM + TT * CN",9,-170.843624368583,4.71309688308352,0.0947466831900807,0.0255078625874818,95.0299202923994,0.990323339653865
"TT + TT * sex",5,-167.886247586529,7.67047366513674,0.0215962231754638,0.00581417179600007,89.1404922143173,0.996137511449865
"TT + TT * sex + TT * CA",7,-165.627146684981,9.92957456668481,0.00697943519333357,0.00187901536872402,90.1869066758239,0.998016526818589
"TT + TT * sex + TT * CN",7,-164.613068094287,10.9436531573789,0.00420354703196131,0.00113168605444662,89.6798673804769,0.999148212873036
"TT + TT * sex + TT * IOD",7,-163.714998975718,11.8417222759477,0.00268288884444504,0.000722291880595948,89.2308328211925,0.999870504753631
"TT + TT * FM",5,-160.071406814134,15.4853144375315,0.00043391702934461,0.000116819877870399,85.2330718281199,0.999987324631502
"TT",3,-154.6735550073,20.8831662443658,2.91929556638478e-05,7.85937698844785e-06,80.4146995815722,0.99999518400849
"TT + TT * CA",5,-152.189146595061,23.3675746566046,8.42938006077057e-06,2.2693719827261e-06,81.2919417185833,0.999997453380473
"TT + TT * CN",5,-151.400900740109,24.1558205115567,5.68368791121814e-06,1.53017208991504e-06,80.8978187911073,0.999998983552563
"TT + TT * IOD",5,-150.582767613825,24.9739536378408,3.77550345376304e-06,1.01644743704583e-06,80.4887522279653,1
